step,close,price_return,action_delta,raw_target,risk_cap,shielded_target,target_position,prev_position,position,executed_trade,locked_position,sellable_position,limit_up,limit_down,pnl,cost,equity,max_equity,drawdown,dd_increase,signal,desired_pos_raw,desired_pos,part_gap,part_pen,reward
48,11.61,0.0060658578856152764,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0013599763801278066,0.0010879811041022453,0.004789931008647156,0.004789931008647156,1.989047422374957e-05,-9.790598765438238e-05
49,11.42,-0.016365202411714,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0031134551556206516,0.0031134551556206516,1.0423538445304243e-05,-6.042353844530425e-05
50,10.99,-0.03765323992994744,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0020237458511534238,0.0020237458511534238,5.462421483697228e-06,-5.546242148369723e-05
51,11.13,0.012738853503184764,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0013154348032497255,0.0013154348032497255,2.8625642455416785e-06,-5.2862564245541684e-05
52,11.24,0.009883198562443794,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0008550326221123217,0.0008550326221123217,1.5001174999603514e-06,-5.1500117499960355e-05
53,11.09,-0.013345195729537398,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0005557712043730091,0.0005557712043730091,7.861317059318836e-07,-5.0786131705931884e-05
54,11.27,0.016230838593327298,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00036125128284245593,0.00036125128284245593,4.119697684266116e-07,-5.0411969768426616e-05
55,11.25,-0.0017746228926352773,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00023481333384759635,0.00023481333384759635,2.1589141974154357e-07,-5.021589141974154e-05
56,11.37,0.010666666666666597,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.03743017932893328,0.029944143463146625,0.010633078879102255,0.010633078879102255,6.57869578150921e-05,-0.0008868486519911176
57,11.02,-0.030782761653474027,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.05184006941528299,0.041472055532226396,0.021426720707695704,0.021426720707695704,0.0001881849177077939,-0.0013060903476626237
58,11.06,0.003629764065335837,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013927368460002207,0.013927368460002207,9.861769520866811e-05,-0.00014861769520866812
59,10.54,-0.04701627486437625,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.009052789499001434,0.009052789499001434,5.168028302550289e-05,-0.0001016802830255029
60,10.55,0.0009487666034157081,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0058843131743509325,0.0058843131743509325,2.708288454668048e-05,-7.708288454668048e-05
61,10.53,-0.0018957345971565259,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0038248035633281063,0.0038248035633281063,1.4192697725878732e-05,-6.419269772587874e-05
62,9.16,-0.1301044634377967,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.002486122316163269,0.002486122316163269,7.437637168632127e-06,-5.743763716863213e-05
63,8.78,-0.04148471615720532,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.001615979505506125,0.001615979505506125,3.897669612969447e-06,-5.389766961296945e-05
64,8.71,-0.007972665148063612,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0010503866785789814,0.0010503866785789814,2.0425611074355983e-06,-5.20425611074356e-05
65,8.39,-0.03673938002296214,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.000682751341076338,0.000682751341076338,1.0703975174617348e-06,-5.1070397517461735e-05
66,8.58,0.02264600715137062,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0004437883716996197,0.0004437883716996197,5.609383441295012e-07,-5.0560938344129506e-05
67,8.2,-0.04428904428904438,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0002884624416047528,0.0002884624416047528,2.9395791823292896e-07,-5.029395791823293e-05
