step,close,price_return,action_delta,raw_target,risk_cap,shielded_target,target_position,prev_position,position,executed_trade,locked_position,sellable_position,limit_up,limit_down,pnl,cost,equity,max_equity,drawdown,dd_increase,signal,desired_pos,part_gap,part_pen,reward
39,11.61,-0.0008605851979345772,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
40,11.52,-0.007751937984496112,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
41,11.75,0.019965277777777814,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
42,11.45,-0.025531914893617082,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
43,11.85,0.03493449781659392,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
44,11.71,-0.01181434599156108,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.05847013306329877,0.04677610645063902,0.04677610645063902,0.0006703182137568171,-0.0025241218187595843
45,11.45,-0.022203245089667083,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.011107714257917676,0.008886171406334142,0.008886171406334142,4.7009540620519946e-05,-0.00043968252547728023
46,11.51,0.005240174672489127,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
47,11.54,0.002606429192006895,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
48,11.61,0.0060658578856152764,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0013599763801278066,0.0010879811041022453,0.0010879811041022453,1.6324379171080435e-06,-9.358770924405087e-05
49,11.42,-0.016365202411714,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
50,10.99,-0.03765323992994744,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
51,11.13,0.012738853503184764,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
52,11.24,0.009883198562443794,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
53,11.09,-0.013345195729537398,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
54,11.27,0.016230838593327298,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
55,11.25,-0.0017746228926352773,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
56,11.37,0.010666666666666597,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.03743017932893328,0.029944143463146625,0.029944143463146625,0.0003283534177886812,-0.0015330744500862729
57,11.02,-0.030782761653474027,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.05184006941528299,0.041472055532226396,0.041472055532226396,0.000552906133470029,-0.002202172274931509
58,11.06,0.003629764065335837,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
59,10.54,-0.04701627486437625,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
60,10.55,0.0009487666034157081,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
61,10.53,-0.0018957345971565259,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
62,9.16,-0.1301044634377967,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
63,8.78,-0.04148471615720532,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
