step,close,price_return,action_delta,raw_target,risk_cap,shielded_target,target_position,prev_position,position,executed_trade,locked_position,sellable_position,limit_up,limit_down,pnl,cost,equity,max_equity,drawdown,dd_increase,signal,desired_pos,part_gap,part_pen,reward
81,9.35,-0.027055150884495296,0.029558531939983368,0.002955853193998337,0.8,0.002955853193998337,0.002955853193998337,0.0,0.002955853193998337,0.002955853193998337,0.0,0.0,0,0,-0.0,2.955853193998337e-06,0.999997044146806,1.0,2.955853193986613e-06,2.955853193986613e-06,0.3126577182293165,0.2501261745834532,0.24717032138945488,0.007373025463797739,-0.013609987788629834
82,9.21,-0.014973262032085433,-1.0,0.0,0.8,0.0,0.0,0.002955853193998337,0.002955853193998337,-0.0,0.002955853193998337,0.0,0,0,-4.425876440211375e-05,0.0,0.9999527855132264,1.0,4.721448677358353e-05,4.425863357959692e-05,0.15537389567887605,0.12429911654310084,0.1213432633491025,0.0025361489481874585,-0.005672339483717366
83,9.16,-0.005428881650380099,-1.0,0.0,0.8,0.0,0.0,0.002955853193998337,0.0,-0.002955853193998337,0.0,0.002955853193998337,0,0,-1.6046977166114976e-05,2.955853193998337e-06,0.9999337835800752,1.0,6.621641992476945e-05,1.9001933151185924e-05,0.053301581838208094,0.04264126547056648,0.04264126547056648,0.0005283191801260921,-0.0017056800825322863
84,9.41,0.027292576419213975,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.9999337835800752,1.0,6.621641992476945e-05,0.0,0.0,0.0,0.0,0.0,-5e-05
85,9.49,0.008501594048884174,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.9999337835800752,1.0,6.621641992476945e-05,0.0,0.060798201084933605,0.048638560867946885,0.048638560867946885,0.0006436093208853082,-0.0019460522632349406
86,9.4,-0.009483667017913578,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,0.9999337835800752,1.0,6.621641992476945e-05,0.0,0.030268059163807204,0.024214447331045764,0.024214447331045764,0.0002260804933222215,-0.0008996025120966499
87,9.71,0.032978723404255374,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.9999337835800752,1.0,6.621641992476945e-05,0.0,0.06212822839775492,0.049702582718203936,0.049702582718203936,0.000664843895573761,-0.0019946854005675123
88,9.68,-0.003089598352214329,0.7032488584518433,0.07032488584518433,0.8,0.07032488584518433,0.07032488584518433,0.0,0.07032488584518433,0.07032488584518433,0.0,0.0,0,0,-0.0,7.032488584518433e-05,0.9998634633508923,1.0,0.00013653664910773244,7.032022918296299e-05,0.24065568539335147,0.1925245483146812,0.12219966246949686,0.0025630451689014713,-0.007145670777207741
89,9.84,0.016528925619834725,-1.0,0.0,0.8,0.0,0.0,0.07032488584518433,0.07032488584518433,-0.0,0.07032488584518433,0.0,0,0,0.0011623948073584197,0.0,1.0010256994487587,1.0010256994487587,0.0,0.0,0.23212810283603888,0.18570248226883113,0.1153775964236468,0.0023514377249239183,-0.005302645926518538
90,9.44,-0.040650406504065074,-1.0,0.0,0.8,0.0,0.0,0.07032488584518433,0.0,-0.07032488584518433,0.0,0.07032488584518433,0,0,-0.002858735196958715,7.032488584518433e-05,0.9980936350306426,1.0010256994487587,0.002929060082803796,0.002929060082803796,0.22404121131308435,0.17923296905046748,0.17923296905046748,0.0045527950351044455,-0.012393241171416028
91,9.34,-0.010593220338983014,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,0.9980936350306426,1.0010256994487587,0.002929060082803796,0.0,0.0072547487876336025,0.005803799030106882,0.005803799030106882,2.6528933968094297e-05,-0.00022597675899334652
92,9.25,-0.009635974304068507,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,0.9980936350306426,1.0010256994487587,0.002929060082803796,0.0,0.0,0.0,0.0,0.0,-5e-05
93,8.63,-0.06702702702702694,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,0.9980936350306426,1.0010256994487587,0.002929060082803796,0.0,0.0,0.0,0.0,0.0,-5e-05
94,8.55,-0.009269988412514491,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,0.9980936350306426,1.0010256994487587,0.002929060082803796,0.0,0.0,0.0,0.0,0.0,-5e-05
95,8.48,-0.008187134502924008,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,0.9980936350306426,1.0010256994487587,0.002929060082803796,0.0,0.0,0.0,0.0,0.0,-5e-05
96,8.61,0.015330188679245165,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.9980936350306426,1.0010256994487587,0.002929060082803796,0.0,0.0,0.0,0.0,0.0,-5e-05
97,8.28,-0.03832752613240419,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,0.9980936350306426,1.0010256994487587,0.002929060082803796,0.0,0.0,0.0,0.0,0.0,-5e-05
98,8.35,0.008454106280193273,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.9980936350306426,1.0010256994487587,0.002929060082803796,0.0,0.0,0.0,0.0,0.0,-5e-05
